Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,28951.0,29717.0,28701.5,29402.5,29402.5,1838861284
2021-01-02,29402.5,33430.0,29028.5,32185.0,32185.0,4616478195
2021-01-03,32185.0,34896.0,31988.0,33062.5,33062.5,4233140121
2021-01-04,33062.5,33670.0,27650.0,32044.5,32044.5,5115041875
2021-01-05,32044.5,34600.0,29936.5,34107.5,34107.5,3831661018
2021-01-06,34107.5,37074.5,33390.5,36883.0,36883.0,4337625799
2021-01-07,36883.0,40567.0,36383.5,39487.0,39487.0,4867691089
2021-01-08,39487.0,42084.0,36595.0,40600.0,40600.0,5295943183
2021-01-09,40600.0,41495.0,38760.5,40291.5,40291.5,2903820217
2021-01-10,40291.5,41527.5,34900.0,38225.0,38225.0,4268255145
2021-01-11,38225.0,38293.0,30377.5,35390.0,35390.0,8176174490
2021-01-12,35390.0,36671.5,32555.0,34026.0,34026.0,4398254106
2021-01-13,34026.0,37800.0,32357.5,37390.5,37390.5,3490456520
2021-01-14,37390.5,40163.5,36781.5,39143.5,39143.5,3215293113
2021-01-15,39143.5,39722.0,34347.0,36734.5,36734.5,4349394468
2021-01-16,36734.5,37969.5,35420.5,36007.0,36007.0,2716337938
2021-01-17,36007.0,36852.5,33862.0,35870.0,35870.0,2787817743
2021-01-18,35870.0,37533.5,34774.5,36684.5,36684.5,2534623334
2021-01-19,36684.5,37920.0,35810.5,35898.0,35898.0,2652624979
2021-01-20,35898.0,36381.5,33333.0,35489.0,35489.0,3153189209
2021-01-21,35489.0,35598.0,29961.0,30810.5,30810.5,4827957533
2021-01-22,30810.5,33835.5,28802.0,33003.0,33003.0,4047359471
2021-01-23,33003.0,33475.0,31413.0,32090.0,32090.0,2248018972
2021-01-24,32090.0,33120.0,30936.0,32290.5,32290.5,1904546206
2021-01-25,32290.5,34872.5,31910.5,32221.0,32221.0,3037356566
2021-01-26,32221.0,32928.0,30803.0,32500.0,32500.0,2807905742
2021-01-27,32500.0,32558.5,29270.0,30381.0,30381.0,3182339546
2021-01-28,30381.0,33793.0,29880.0,33446.0,33446.0,2408020667
2021-01-29,33446.0,38730.0,31999.5,34230.0,34230.0,6550659922
2021-01-30,34230.0,34889.0,32781.0,34310.5,34310.5,2227538611
2021-01-31,34310.5,34362.0,32176.0,33101.0,33101.0,1627575811
2021-02-01,33101.0,34749.0,32318.0,33550.5,33550.5,2077088786
2021-02-02,33550.5,36051.0,33441.0,35544.5,35544.5,2226392272
2021-02-03,35544.5,37750.0,35426.0,37700.0,37700.0,2662277724
2021-02-04,37700.0,38850.0,36222.0,37030.0,37030.0,2967900059
2021-02-05,37030.0,38419.5,36605.0,38361.5,38361.5,1825963949
2021-02-06,38361.5,41027.5,38293.5,39318.5,39318.5,2745957944
2021-02-07,39318.5,39810.0,37410.5,38900.5,38900.5,2627342478
